U+00A1;¡;Inverted exclamation mark
U+22C1;⋁;N-ary Logical Or
U+22C2;⋂;N-ary Intersection
U+22C3;⋃;N-ary Union
U+22C4;⋄;Diamond Operator
U+22C5;⋅;Dot Operator
U+22C6;⋆;Star Operator
U+22C7;⋇;Division Times
U+22C8;⋈;Bowtie
U+22C9;⋉;Left Normal Factor Semidirect Product
U+22CA;⋊;Right Normal Factor Semidirect Product
U+22CB;⋋;Left Semidirect Product
U+22CC;⋌;Right Semidirect Product
U+22CD;⋍;Reversed Tilde Equals
U+22CE;⋎;Curly Logical Or
U+22CF;⋏;Curly Logical And
U+22D0;⋐;Double Subset
U+22D1;⋑;Double Superset
U+22D2;⋒;Double Intersection
U+22D3;⋓;Double Union
U+22D4;⋔;Pitchfork
U+22D5;⋕;Equal And Parallel To
U+22D6;⋖;Less-than With Dot
U+22D7;⋗;Greater-than With Dot
U+22D8;⋘;Very Much Less-than
U+22D9;⋙;Very Much Greater-than
U+22DA;⋚;Less-than Equal To Or Greater-than
U+22DB;⋛;Greater-than Equal To Or Less-than
U+22DC;⋜;Equal To Or Less-than
U+22DD;⋝;Equal To Or Greater-than
U+22DE;⋞;Equal To Or Precedes
U+22DF;⋟;Equal To Or Succeeds
U+22E0;⋠;Does Not Precede Or Equal
U+22E1;⋡;Does Not Succeed Or Equal
U+22E2;⋢;Not Square Image Of Or Equal To
U+22E3;⋣;Not Square Original Of Or Equal To
U+22E4;⋤;Square Image Of Or Not Equal To
U+22E5;⋥;Square Original Of Or Not Equal To
U+22E6;⋦;Less-than But Not Equivalent To
U+22E7;⋧;Greater-than But Not Equivalent To
U+22E8;⋨;Precedes But Not Equivalent To
U+22E9;⋩;Succeeds But Not Equivalent To
U+22EA;⋪;Not Normal Subgroup Of
U+22EB;⋫;Does Not Contain As Normal Subgroup
U+22EC;⋬;Not Normal Subgroup Of Or Equal To
U+22ED;⋭;Does Not Contain As Normal Subgroup Or Equal
U+22EE;⋮;Vertical Ellipsis
U+22EF;⋯;Midline Horizontal Ellipsis
U+22F0;⋰;Up Right Diagonal Ellipsis
U+22F1;⋱;Down Right Diagonal Ellipsis
U+22F2;⋲;Element Of With Long Horizontal Stroke
U+22F3;⋳;Element Of With Vertical Bar At End Of Horizontal Stroke
U+22F4;⋴;Small Element Of With Vertical Bar At End Of Horizontal Stroke
U+22F5;⋵;Element Of With Dot Above
U+22F6;⋶;Element Of With Overbar
U+22F7;⋷;Small Element Of With Overbar
U+22F8;⋸;Element Of With Underbar
U+22F9;⋹;Element Of With Two Horizontal Strokes
U+22FA;⋺;Contains With Long Horizontal Stroke
U+22FB;⋻;Contains With Vertical Bar At End Of Horizontal Stroke
U+22FC;⋼;Small Contains With Vertical Bar At End Of Horizontal Stroke
U+22FD;⋽;Contains With Overbar
U;22FE;⋾;Small Contains With Overbar
U;22FF;⋿;Z Notation Bag Membership
U+2600;☀;Black Sun With Rays
U+2601;☁;Cloud
U+2602;☂;Umbrella
U+2603;☃;Snowman
U+2604;☄;Comet
U+2605;★;Black Star
U+2606;☆;White Star
U+2607;☇;Lightning
U+2608;☈;Thunderstorm
U+2609;☉;Sun
U+260A;☊;Ascending Node
U+260B;☋;Descending Node
U+260C;☌;Conjunction
U+260D;☍;Opposition
U+260E;☎;Black Telephone
U+260F;☏;White Telephone
U+2610;☐;Ballot Box
U+2611;☑;Ballot Box With Check
U+2612;☒;Ballot Box With X
U+2613;☓;Saltire
U+2614;☔;Umbrella With Rain Drops
U+2615;☕;Hot Beverage
U+2616;☖;White Shogi Piece
U+2617;☗;Black Shogi Piece
U+2618;☘;Shamrock
U+2619;☙;Reversed Rotated Floral Heart Bullet
U+261A;☚;Black Left Pointing Index
U+261B;☛;Black Right Pointing Index
U+261C;☜;White Left Pointing Index
U+261D;☝;White Up Pointing Index
U+261E;☞;White Right Pointing Index
U+261F;☟;White Down Pointing Index
U+2620;☠;Skull And Crossbones
U+2621;☡;Caution Sign
U+2622;☢;Radioactive Sign
U+2623;☣;Biohazard Sign
U+2624;☤;Caduceus
U+2625;☥;Ankh
U+2626;☦;Orthodox Cross
U+2627;☧;Chi Rho
U+2628;☨;Cross Of Lorraine
U+2629;☩;Cross Of Jerusalem
U+262A;☪;Star And Crescent
U+262B;☫;Farsi Symbol
U+262C;☬;Adi Shakti
U+262D;☭;Hammer And Sickle
U+262E;☮;Peace Symbol
U+262F;☯;Yin Yang
U+2630;☰;Trigram For Heaven
U+2631;☱;Trigram For Lake
U+2632;☲;Trigram For Fire
U+2633;☳;Trigram For Thunder
U+2634;☴;Trigram For Wind
U+2635;☵;Trigram For Water
U+2636;☶;Trigram For Mountain
U+2637;☷;Trigram For Earth
U+2638;☸;Wheel Of Dharma
U+2639;☹;White Frowning Face
U+263A;☺;White Smiling Face
U+263B;☻;Black Smiling Face
U+263C;☼;White Sun With Rays
U+263D;☽;First Quarter Moon
U+263E;☾;Last Quarter Moon
U+263F;☿;Mercury
U+2640;♀;Female Sign
U+2641;♁;Earth
U+2642;♂;Male Sign
U+2643;♃;Jupiter
U+2644;♄;Saturn
U+2645;♅;Uranus
U+2646;♆;Neptune
U+2647;♇;Pluto
U+2648;♈;Aries
U+2649;♉;Taurus
U+264A;♊;Gemini
U+264B;♋;Cancer
U+264C;♌;Leo
U+264D;♍;Virgo
U+264E;♎;Libra
U+264F;♏;Scorpius
U+2650;♐;Sagittarius
U+2651;♑;Capricorn
U+2652;♒;Aquarius
U+2653;♓;Pisces
U+2654;♔;White Chess King
U+2655;♕;White Chess Queen
U+2656;♖;White Chess Rook
U+2657;♗;White Chess Bishop
U+2658;♘;White Chess Knight
U+2659;♙;White Chess Pawn
U+265A;♚;Black Chess King
U+265B;♛;Black Chess Queen
U+265C;♜;Black Chess Rook
U+265D;♝;Black Chess Bishop
U+265E;♞;Black Chess Knight
U+265F;♟;Black Chess Pawn
U+2660;♠;Black Spade Suit
U+2661;♡;White Heart Suit
U+2662;♢;White Diamond Suit
U+2663;♣;Black Club Suit
U+2664;♤;White Spade Suit
U+2665;♥;Black Heart Suit
U+2666;♦;Black Diamond Suit
U+2667;♧;White Club Suit
U+2668;♨;Hot Springs
U+2669;♩;Quarter Note
U+266A;♪;Eighth Note
U+266B;♫;Beamed Eighth Notes
U+266C;♬;Beamed Sixteenth Notes
U+266D;♭;Music Flat Sign
U+266E;♮;Music Natural Sign
U+266F;♯;Music Sharp Sign
U+2670;♰;West Syriac Cross
U+2671;♱;East Syriac Cross
U+2672;♲;Universal Recycling Symbol
U+2673;♳;Recycling Symbol For Type-1 Plastics
U+2674;♴;Recycling Symbol For Type-2 Plastics
U+2675;♵;Recycling Symbol For Type-3 Plastics
U+2676;♶;Recycling Symbol For Type-4 Plastics
U+2677;♷;Recycling Symbol For Type-5 Plastics
U+2678;♸;Recycling Symbol For Type-6 Plastics
U+2679;♹;Recycling Symbol For Type-7 Plastics
U+267A;♺;Recycling Symbol For Generic Materials
U+267B;♻;Black Universal Recycling Symbol
U+267C;♼;Recycled Paper Symbol
U+267D;♽;Partially-recycled Paper Symbol
U+267E;♾;Permanent Paper Sign
U+267F;♿;Wheelchair Symbol
U+2680;⚀;Die Face-1
U+2681;⚁;Die Face-2
U+2682;⚂;Die Face-3
U+2683;⚃;Die Face-4
U+2684;⚄;Die Face-5
U+2685;⚅;Die Face-6
U+2686;⚆;White Circle With Dot Right
U+2687;⚇;White Circle With Two Dots
U+2688;⚈;Black Circle With White Dot Right
U+2689;⚉;Black Circle With Two White Dots
U+268A;⚊;Monogram For Yang
U+268B;⚋;Monogram For Yin
U+268C;⚌;Digram For Greater Yang
U+268D;⚍;Digram For Lesser Yin
U+268E;⚎;Digram For Lesser Yang
U+268F;⚏;Digram For Greater Yin
U+2690;⚐;White Flag
U+2691;⚑;Black Flag
U+2692;⚒;Hammer And Pick
U+2693;⚓;Anchor
U+2694;⚔;Crossed Swords
U+2695;⚕;Staff Of Aesculapius
U+2696;⚖;Scales
U+2697;⚗;Alembic
U+2698;⚘;Flower
U+2699;⚙;Gear
U+269A;⚚;Staff Of Hermes
U+269B;⚛;Atom Symbol
U+269C;⚜;Fleur-de-lis
U+269D;⚝;Outlined White Star
U+269E;⚞;Three Lines Converging Right
U+269F;⚟;Three Lines Converging Left
U+26A0;⚠;Warning Sign
U+26A1;⚡;High Voltage Sign
U+26A2;⚢;Doubled Female Sign
U+26A3;⚣;Doubled Male Sign
U+26A4;⚤;Interlocked Female And Male Sign
U+26A5;⚥;Male And Female Sign
U+26A6;⚦;Male With Stroke Sign
U+26A7;⚧;Male With Stroke And Male And Female Sign
U+26A8;⚨;Vertical Male With Stroke Sign
U+26A9;⚩;Horizontal Male With Stroke Sign
U+26AA;⚪;Medium White Circle
U+26AB;⚫;Medium Black Circle
U+26AC;⚬;Medium Small White Circle
U+26AD;⚭;Marriage Symbol
U+26AE;⚮;Divorce Symbol
U+26AF;⚯;Unmarried Partnership Symbol
U+26B0;⚰;Coffin
U+26B1;⚱;Funeral Urn
U+26B2;⚲;Neuter
U+26B3;⚳;Ceres
U+26B4;⚴;Pallas
U+26B5;⚵;Juno
U+26B6;⚶;Vesta
U+26B7;⚷;Chiron
U+26B8;⚸;Black Moon Lilith
U+26B9;⚹;Sextile
U+26BA;⚺;Semisextile
U+26BB;⚻;Quincunx
U+26BC;⚼;Sesquiquadrate
U+26BD;⚽;Soccer Ball
U+26BE;⚾;Baseball
U+26BF;⚿;Squared Key
U+26C0;⛀;White Draughts Man
U+26C1;⛁;White Draughts King
U+26C2;⛂;Black Draughts Man
U+26C3;⛃;Black Draughts King
U+26C4;⛄;Snowman Without Snow
U+26C5;⛅;Sun Behind Cloud
U+26C6;⛆;Rain
U+26C7;⛇;Black Snowman
U+26C8;⛈;Thunder Cloud And Rain
U+26C9;⛉;Turned White Shogi Piece
U+26CA;⛊;Turned Black Shogi Piece
U+26CB;⛋;White Diamond In Square
U+26CC;⛌;Crossing Lanes
U+26CD;⛍;Disabled Car
U+26CE;⛎;Ophiuchus
U+26CF;⛏;Pick
U+26D0;⛐;Car Sliding
U+26D1;⛑;Helmet With White Cross
U+26D2;⛒;Circled Crossing Lanes
U+26D3;⛓;Chains
U+26D4;⛔;No Entry
U+26D5;⛕;Alternate One-way Left Way Traffic
U+26D6;⛖;Black Two-way Left Way Traffic
U+26D7;⛗;White Two-way Left Way Traffic
U+26D8;⛘;Black Left Lane Merge
U+26D9;⛙;White Left Lane Merge
U+26DA;⛚;Drive Slow Sign
U+26DB;⛛;Heavy White Down-pointing Triangle
U+26DC;⛜;Left Closed Entry
U+26DD;⛝;Squared Saltire
U+26DE;⛞;Falling Diagonal In White Circle In Black Square
U+26DF;⛟;Black Truck
U+26E0;⛠;Restricted Left Entry-1
U+26E1;⛡;Restricted Left Entry-2
U+26E2;⛢;Astronomical Symbol For Uranus
U+26E3;⛣;Heavy Circle With Stroke And Two Dots Above
U+26E4;⛤;Pentagram
U+26E5;⛥;Right-handed Interlaced Pentagram
U+26E6;⛦;Left-handed Interlaced Pentagram
U+26E7;⛧;Inverted Pentagram
U+26E8;⛨;Black Cross On Shield
U+26E9;⛩;Shinto Shrine
U+26EA;⛪;Church
U+26EB;⛫;Castle
U+26EC;⛬;Historic Site
U+26ED;⛭;Gear Without Hub
U+26EE;⛮;Gear With Handles
U+26EF;⛯;Map Symbol For Lighthouse
U+26F0;⛰;Mountain
U+26F1;⛱;Umbrella On Ground
U+26F2;⛲;Fountain
U+26F3;⛳;Flag In Hole
U+26F4;⛴;Ferry
U+26F5;⛵;Sailboat
U+26F6;⛶;Square Four Corners
U+26F7;⛷;Skier
U+26F8;⛸;Ice Skate
U+26F9;⛹;Person With Ball
U+26FA;⛺;Tent
U+26FB;⛻;Japanese Bank Symbol
U+26FC;⛼;Headstone Graveyard Symbol
U+26FD;⛽;Fuel Pump
U+26FE;⛾;Cup On Black Square
U+26FF;⛿;White Flag With Horizontal Middle Black Stripe
U+25A0;■;Black square
U+25A1;□;White square
U+25A2;▢;White square with rounded corners
U+25A3;▣;White square containing small black square
U+25A4;▤;Square with horizontal fill
U+25A5;▥;Square with vertical fill
U+25A6;▦;Square with orthogonal crosshatch fill
U+25A7;▧;Square with upper left to lower right fill
U+25A8;▨;Square with upper right to lower left fill
U+25A9;▩;Square with diagonal crosshatch fill
U+25AA;▪;Black small square
U+25AB;▫;White small square
U+25AC;▬;Black rectangle
U+25AD;▭;White rectangle
U+25AE;▮;Black vertical rectangle
U+25AF;▯;White vertical rectangle
U+25B0;▰;Black parallelogram
U+25B1;▱;White parallelogram
U+25B2;▲;Black up-pointing triangle
U+25B3;△;White up-pointing triangle
U+25B4;▴;Black up-pointing small triangle
U+25B5;▵;White up-pointing small triangle
U+25B6;▶;Black right-pointing triangle
U+25B7;▷;White right-pointing triangle
U+25B8;▸;Black right-pointing small triangle
U+25B9;▹;White right-pointing small triangle
U+25BA;►;Black right-pointing pointer
U+25BB;▻;White right-pointing pointer
U+25BC;▼;Black down-pointing triangle
U+25BD;▽;White down-pointing triangle
U+25BE;▾;Black down-pointing small triangle
U+25BF;▿;White down-pointing small triangle
U+25C0;◀;Black left-pointing triangle
U+25C1;◁;White left-pointing triangle
U+25C2;◂;Black left-pointing small triangle
U+25C3;◃;White left-pointing small triangle
U+25C4;◄;Black left-pointing pointer
U+25C5;◅;White left-pointing pointer
U+25C6;◆;Black diamond
U+25C7;◇;White diamond
U+25C8;◈;White diamond containing small black diamond
U+25C9;◉;Fisheye
U+25CA;◊;Lozenge
U+25CB;○;White circle
U+25CC;◌;Dotted circle
U+25CD;◍;Circle with vertical fill
U+25CE;◎;Bullseye
U+25CF;●;Black circle
U+25D0;◐;Circle with left half black
U+25D1;◑;Circle with right half black
U+25D2;◒;Circle with lower half black
U+25D3;◓;Circle with upper half black
U+25D4;◔;Circle with upper right quadrant black
U+25D5;◕;Circle with all but upper left quadrant black
U+25D6;◖;Left half circle black
U+25D7;◗;Right half black circle
U+25D8;◘;Inverse bullet
U+25D9;◙;Inverse white circle
U+25DA;◚;Upper half inverse white circle
U+25DB;◛;Lower half inverse white circle
U+25DC;◜;Upper left quadrant circular arc
U+25DD;◝;Upper right quadrant circular arc
U+25DE;◞;Lower right quadrant circular arc
U+25DF;◟;Lower left quadrant circular arc
U+25E0;◠;Upper half circle
U+25E1;◡;Lower half circle
U+25E2;◢;Black lower right triangle
U+25E3;◣;Black lower left triangle
U+25E4;◤;Black upper left triangle
U+25E5;◥;Black upper right triangle
U+25E6;◦;White bullet
U+25E7;◧;Square with left half black
U+25E8;◨;Square with right half black
U+25E9;◩;Square with upper left diagonal half black
U+25EA;◪;Square with lower right diagonal half black
U+25EB;◫;White square with vertical bisecting line
U+25EC;◬;White up-pointing triangle with dot
U+25ED;◭;Up-pointing triangle with left half black
U+25EE;◮;Up-pointing triangle with right half black
U+25EF;◯;Large circle
U+25F0;◰;White square with upper left quadrant
U+25F1;◱;White square with lower left quadrant
U+25F2;◲;White square with lower right quadrant
U+25F3;◳;White square with upper right quadrant
U+25F4;◴;White circle with upper left quadrant
U+25F5;◵;White circle with lower left quadrant
U+25F6;◶;White circle with lower right quadrant
U+25F7;◷;White circle with upper right quadrant
U+25F8;◸;Upper left triangle
U+25F9;◹;Upper right triangle
U+25FA;◺;Lower-left triangle
U+25FB;◻;White medium square
U+25FC;◼;Black medium square
U+25FD;◽;White medium small square
U+25FE;◾;Black medium small square
U+25FF;◿;Lower right triangle
U+2580;▀;Upper half block
U+2581;▁;Lower one eighth block
U+2582;▂;Lower one quarter block
U+2583;▃;Lower three eighths block
U+2584;▄;Lower half block
U+2585;▅;Lower five eighths block
U+2586;▆;Lower three quarters block
U+2587;▇;Lower seven eighths block
U+2588;█;Full block
U+2589;▉;Left seven eighths block
U+258A;▊;Left three quarters block
U+258B;▋;Left five eighths block
U+258C;▌;Left half block
U+258D;▍;Left three eighths block
U+258E;▎;Left one quarter block
U+258F;▏;Left one eighth block
U+2590;▐;Right half block
U+2591;░;Light shade
U+2592;▒;Medium shade
U+2593;▓;Dark shade
U+2594;▔;Upper one eighth block
U+2595;▕;Right one eighth block
U+2596;▖;Quadrant lower left
U+2597;▗;Quadrant lower right
U+2598;▘;Quadrant upper left
U+2599;▙;Quadrant upper left and lower left and lower right
U+259A;▚;Quadrant upper left and lower right
U+259B;▛;Quadrant upper left and upper right and lower left
U+259C;▜;Quadrant upper left and upper right and lower right
U+259D;▝;Quadrant upper right
U+259E;▞;Quadrant upper right and lower left
U+259F;▟;Quadrant upper right and lower left and lower right
U+1D741;𝝁;Mathematical Bold Italic Small Mu
U+1F30D;🌍;Earth Globe Europe-africa
U+1F30E;🌎;Earth Globe Americas
U+1F30F;🌏;Earth Globe Asia-australia
U+1F315;🌕;Full Moon Symbol
U+1F31C;🌜;Last Quarter Moon With Face
U+1F378;🍸;Cocktail Glass
U+1F393;🎓;Graduation Cap
U+1F3A7;🎧;Headphone
U+1F3AC;🎬;Clapper Board
U+1F3AD;🎭;Performing Arts
U+1F3AE;🎮;Video Game
U+1F3B5;🎵;Musical Note
U+1F3B6;🎶;Multiple Musical Notes
U+1F3C2;🏂;Snowboarder
U+1F3C4;🏄;Surfer
U+1F3C6;🏆;Trophy
U+1F3CA;🏊;Swimmer
U+1F3E0;🏠;House Building
U+1F3ED;🏭;Factory
U+1F408;🐈;Cat
U+1F415;🐕;Dog
U+1F41F;🐟;Fish
U+1F426;🐦;Bird
U+1F442;👂;Ear
U+1F446;👆;White Up Pointing Backhand Index
U+1F447;👇;White Down Pointing Backhand Index
U+1F448;👈;White Left Pointing Backhand Index
U+1F449;👉;White Right Pointing Backhand Index
U+1F44C;👌;Ok Hand Sign
U+1F44D;👍;Thumbs Up Sign
U+1F44E;👎;Thumbs Down Sign
U+1F453;👓;Eyeglasses
U+1F46A;👪;Family
U+1F47D;👽;Extraterrestrial Alien
U+1F4A3;💣;Bomb
U+1F4A9;💩;Pile Of Poo
U+1F4B0;💰;Money Bag
U+1F4B3;💳;Credit Card
U+1F4B9;💹;Chart With Upwards Trend And Yen Sign
U+1F4BB;💻;Personal Computer
U+1F4BF;💿;Optical Disc
U+1F4C8;📈;Chart With Upwards Trend
U+1F4C9;📉;Chart With Downwards Trend
U+1F4CA;📊;Bar Chart
U+1F4CB;📋;Clipboard
U+1F4DA;📚;Books
U+1F4DF;📟;Pager
U+1F4E4;📤;Outbox Tray
U+1F4E5;📥;Inbox Tray
U+1F4E6;📦;Package
U+1F4EA;📪;Closed Mailbox With Lowered Flag
U+1F4EB;📫;Closed Mailbox With Raised Flag
U+1F4EC;📬;Open Mailbox With Raised Flag
U+1F4ED;📭;Open Mailbox With Lowered Flag
U+1F4F7;📷;Camera
U+1F4F9;📹;Video Camera
U+1F4FA;📺;Television
U+1F4FB;📻;Radio
U+1F507;🔇;Speaker With Cancellation Stroke
U+1F508;🔈;Speaker
U+1F509;🔉;Speaker With One Sound Wave
U+1F50A;🔊;Speaker With Three Sound Waves
U+1F50D;🔍;Left-pointing Magnifying Glass
U+1F512;🔒;Lock
U+1F513;🔓;Open Lock
U+1F540;🕀;Circled Cross Pommee
U+1F541;🕁;Cross Pommee With Half-circle Below
U+1F542;🕂;Cross Pommee
U+1F543;🕃;Notched Left Semicircle With Three Dots
U+1F550;🕐;Clock Face One Oclock
U+1F551;🕑;Clock Face Two Oclock
U+1F552;🕒;Clock Face Three Oclock
U+1F553;🕓;Clock Face Four Oclock
U+1F554;🕔;Clock Face Five Oclock
U+1F555;🕕;Clock Face Six Oclock
U+1F556;🕖;Clock Face Seven Oclock
U+1F557;🕗;Clock Face Eight Oclock
U+1F558;🕘;Clock Face Nine Oclock
U+1F559;🕙;Clock Face Ten Oclock
U+1F55A;🕚;Clock Face Eleven Oclock
U+1F55B;🕛;Clock Face Twelve Oclock
U+1F55C;🕜;Clock Face One-thirty
U+1F55D;🕝;Clock Face Two-thirty
U+1F55E;🕞;Clock Face Three-thirty
U+1F55F;🕟;Clock Face Four-thirty
U+1F560;🕠;Clock Face Five-thirty
U+1F561;🕡;Clock Face Six-thirty
U+1F562;🕢;Clock Face Seven-thirty
U+1F563;🕣;Clock Face Eight-thirty
U+1F564;🕤;Clock Face Nine-thirty
U+1F565;🕥;Clock Face Ten-thirty
U+1F566;🕦;Clock Face Eleven-thirty
U;1F567;🕧;Clock Face Twelve-thirty
U+1F0A0;🂠;Playing Card Back
U+1F0A1;🂡;Playing Card Ace Of Spades
U+1F0A2;🂢;Playing Card Two Of Spades
U+1F0A3;🂣;Playing Card Three Of Spades
U+1F0A4;🂤;Playing Card Four Of Spades
U+1F0A5;🂥;Playing Card Five Of Spades
U+1F0A6;🂦;Playing Card Six Of Spades
U+1F0A7;🂧;Playing Card Seven Of Spades
U+1F0A8;🂨;Playing Card Eight Of Spades
U+1F0A9;🂩;Playing Card Nine Of Spades
U+1F0AA;🂪;Playing Card Ten Of Spades
U+1F0AB;🂫;Playing Card Jack Of Spades
U+1F0AC;🂬;Playing Card Knight Of Spades
U+1F0AD;🂭;Playing Card Queen Of Spades
U+1F0AE;🂮;Playing Card King Of Spades
U+1F0B1;🂱;Playing Card Ace Of Hearts
U+1F0B2;🂲;Playing Card Two Of Hearts
U+1F0B3;🂳;Playing Card Three Of Hearts
U+1F0B4;🂴;Playing Card Four Of Hearts
U+1F0B5;🂵;Playing Card Five Of Hearts
U+1F0B6;🂶;Playing Card Six Of Hearts
U+1F0B7;🂷;Playing Card Seven Of Hearts
U+1F0B8;🂸;Playing Card Eight Of Hearts
U+1F0B9;🂹;Playing Card Nine Of Hearts
U+1F0BA;🂺;Playing Card Ten Of Hearts
U+1F0BB;🂻;Playing Card Jack Of Hearts
U+1F0BC;🂼;Playing Card Knight Of Hearts
U+1F0BD;🂽;Playing Card Queen Of Hearts
U+1F0BE;🂾;Playing Card King Of Hearts
U+1F0C1;🃁;Playing Card Ace Of Diamonds
U+1F0C2;🃂;Playing Card Two Of Diamonds
U+1F0C3;🃃;Playing Card Three Of Diamonds
U+1F0C4;🃄;Playing Card Four Of Diamonds
U+1F0C5;🃅;Playing Card Five Of Diamonds
U+1F0C6;🃆;Playing Card Six Of Diamonds
U+1F0C7;🃇;Playing Card Seven Of Diamonds
U+1F0C8;🃈;Playing Card Eight Of Diamonds
U+1F0C9;🃉;Playing Card Nine Of Diamonds
U+1F0CA;🃊;Playing Card Ten Of Diamonds
U+1F0CB;🃋;Playing Card Jack Of Diamonds
U+1F0CC;🃌;Playing Card Knight Of Diamonds
U+1F0CD;🃍;Playing Card Queen Of Diamonds
U+1F0CE;🃎;Playing Card King Of Diamonds
U+1F0CF;🃏;Playing Card Black Joker
U+1F0D1;🃑;Playing Card Ace Of Clubs
U+1F0D2;🃒;Playing Card Two Of Clubs
U+1F0D3;🃓;Playing Card Three Of Clubs
U+1F0D4;🃔;Playing Card Four Of Clubs
U+1F0D5;🃕;Playing Card Five Of Clubs
U+1F0D6;🃖;Playing Card Six Of Clubs
U+1F0D7;🃗;Playing Card Seven Of Clubs
U+1F0D8;🃘;Playing Card Eight Of Clubs
U+1F0D9;🃙;Playing Card Nine Of Clubs
U+1F0DA;🃚;Playing Card Ten Of Clubs
U+1F0DB;🃛;Playing Card Jack Of Clubs
U+1F0DC;🃜;Playing Card Knight Of Clubs
U+1F0DD;🃝;Playing Card Queen Of Clubs
U+1F0DE;🃞;Playing Card King Of Clubs
U+1F0DF;🃟;Playing Card White Joker
U+2300;⌀;Diameter Sign
U+2301;⌁;Electric Arrow
U+2302;⌂;House
U+2303;⌃;Up Arrowhead
U+2304;⌄;Down Arrowhead
U+2305;⌅;Projective
U+2306;⌆;Perspective
U+2307;⌇;Wavy Line
U+2308;⌈;Left Ceiling
U+2309;⌉;Right Ceiling
U+230A;⌊;Left Floor
U+230B;⌋;Right Floor
U+230C;⌌;Bottom Right Crop
U+230D;⌍;Bottom Left Crop
U+230E;⌎;Top Right Crop
U+230F;⌏;Top Left Crop
U+2310;⌐;Reversed Not Sign
U+2311;⌑;Square Lozenge
U+2312;⌒;Arc
U+2313;⌓;Segment
U+2314;⌔;Sector
U+2315;⌕;Telephone Recorder
U+2316;⌖;Position Indicator
U+2317;⌗;Viewdata Square
U+2318;⌘;Place Of Interest Sign
U+2319;⌙;Turned Not Sign
U+231a;⌚;Watch
U+231b;⌛;Hourglass
U+231c;⌜;Top Left Corner
U+231d;⌝;Top Right Corner
U+231e;⌞;Bottom Left Corner
U+231f;⌟;Bottom Right Corner
U+2320;⌠;Top Half Integral
U+2321;⌡;Bottom Half Integral
U+2322;⌢;Frown
U+2323;⌣;Smile
U+2324;⌤;Up Arrowhead Between Two Horizontal Bars
U+2325;⌥;Option Key
U+2326;⌦;Erase To The Right
U+2327;⌧;X In A Rectangle Box
U+2328;⌨;Keyboard
U+2329;〈;Left-pointing Angle Bracket
U+232A;〉;Right-pointing Angle Bracket
U+232B;⌫;Erase To The Left
U+232C;⌬;Benzene Ring
U+232D;⌭;Cylindricity
U+232E;⌮;All Around-profile
U+232F;⌯;Symmetry
U+2330;⌰;Total Runout
U+2331;⌱;Dimension Origin
U+2332;⌲;Conical Taper
U+2333;⌳;Slope
U+2334;⌴;Counterbore
U+2335;⌵;Countersink
U+2336;⌶;Apl Functional Symbol I-Beam
U+2337;⌷;Apl Functional Symbol Squish Quad
U+2338;⌸;Apl Functional Symbol Quad Equal
U+2339;⌹;Apl Functional Symbol Quad Divide
U+233A;⌺;Apl Functional Symbol Quad Diamond
U+233B;⌻;Apl Functional Symbol Quad Jot
U+233C;⌼;Apl Functional Symbol Quad Circle
U+233D;⌽;Apl Functional Symbol Circle Stile
U+233E;⌾;Apl Functional Symbol Circle Jot
U+233F;⌿;Apl Functional Symbol Slash Bar
U+2340;⍀;Apl Functional Symbol Backslash Bar
U+2341;⍁;Apl Functional Symbol Quad Slash
U+2342;⍂;Apl Functional Symbol Quad Backslash
U+2343;⍃;Apl Functional Symbol Quad Less-than
U+2344;⍄;Apl Functional Symbol Quad Greater-than
U+2345;⍅;Apl Functional Symbol Leftwards Vane
U+2346;⍆;Apl Functional Symbol Rightwards Vane
U+2347;⍇;Apl Functional Symbol Quad Leftwards Arrow
U+2348;⍈;Apl Functional Symbol Quad Rightwards Arrow
U+2349;⍉;Apl Functional Symbol Circle Backslash
U+234A;⍊;Apl Functional Symbol Down Tack Underbar
U+234B;⍋;Apl Functional Symbol Delta Stile
U+234C;⍌;Apl Functional Symbol Quad Down Caret
U+234D;⍍;Apl Functional Symbol Quad Delta
U+234E;⍎;Apl Functional Symbol Down Tack Jot
U+234F;⍏;Apl Functional Symbol Upwards Vane
U+2350;⍐;Apl Functional Symbol Quad Upwards Arrow
U+2351;⍑;Apl Functional Symbol Up Tack Overbar
U+2352;⍒;Apl Functional Symbol Del Stile
U+2353;⍓;Apl Functional Symbol Quad Up Caret
U+2354;⍔;Apl Functional Symbol Quad Del
U+2355;⍕;Apl Functional Symbol Up Tack Jot
U+2356;⍖;Apl Functional Symbol Downwards Vane
U+2357;⍗;Apl Functional Symbol Quad Downwards Arrow
U+2358;⍘;Apl Functional Symbol Quote Underbar
U+2359;⍙;Apl Functional Symbol Delta Underbar
U+235A;⍚;Apl Functional Symbol Diamond Underbar
U+235B;⍛;Apl Functional Symbol Jot Underbar
U+235C;⍜;Apl Functional Symbol Circle Underbar
U+235D;⍝;Apl Functional Symbol Up Shoe Jot
U+235E;⍞;Apl Functional Symbol Quote Quad
U+235F;⍟;Apl Functional Symbol Circle Star
U+2360;⍠;Apl Functional Symbol Quad Colon
U+2361;⍡;Apl Functional Symbol Up Tack Diaeresis
U+2362;⍢;Apl Functional Symbol Del Diaeresis
U+2363;⍣;Apl Functional Symbol Star Diaeresis
U+2364;⍤;Apl Functional Symbol Jot Diaeresis
